time,time_server,time_utc,open,high,low,close,spread
1787271600,1787271600,1787271601,4517.711,4519.28,4516.289,4517.688,260
1787271900,1787271900,1787271901,4517.526,4520.81,4513.819,4515.193,260
1787272200,1787272200,1787272201,4515.128,4517.113,4513.033,4514.373,260
1787272500,1787272500,1787272501,4514.376,4515.83,4511.362,4512.829,260
1787272800,1787272800,1787272801,4512.692,4514.579,4510.807,4513.79,260
1787273100,1787273100,1787273101,4513.597,4514.062,4509.846,4511.752,260
1787273400,1787273400,1787273401,4511.661,4512.777,4510.175,4511.152,260
1787273700,1787273700,1787273701,4511.208,4511.708,4509.727,4510.513,260
1787274000,1787274000,1787274001,4510.579,4517.401,4508.614,4513.194,260
1787274300,1787274300,1787274301,4512.985,4516.18,4512.127,4513.736,260
1787274600,1787274600,1787274601,4513.678,4521.157,4511.994,4520.693,260
1787274900,1787274900,1787274901,4520.636,4526.826,4520.225,4524.254,260
1787275200,1787275200,1787275201,4523.852,4530.08,4522.536,4526.582,260
1787275500,1787275500,1787275501,4526.738,4530.744,4525.263,4529.588,260
1787275800,1787275800,1787275801,4529.37,4539.21,4528.389,4537.101,260
