cfg_id,ema_periods,periodos_htf_min,buf_bp,rr,full_expectancy_r,full_n_trades,sub1_expectancy_r,sub1_n_trades,sub2_expectancy_r,sub2_n_trades,sub3_expectancy_r,sub3_n_trades,positive_subperiods
cfg_3492,23,500,2.7,0.5,-0.0159775488155899,2206,-0.02660193334305981,720,0.024463745337649345,715,-0.04093096100980671,772,1
cfg_3495,23,500,2.7,1.0,-0.0402203049671819,1884,-0.11927244099347015,625,0.05272920221316149,592,-0.047148665719437044,668,1
cfg_3498,23,500,2.7,1.5,-0.0456548925877309,1537,-0.11341490326578567,512,0.04545263646120092,485,-0.05734611827501302,547,1
cfg_3501,23,500,2.7,2.0,-0.1075036503353,1252,-0.19025168822815783,428,-0.03139249244361111,385,-0.09487254279792956,446,0
cfg_3504,23,500,2.7,2.5,-0.0601698637081166,1081,-0.10175122367676627,391,0.011319907648380485,315,-0.07342269154188105,381,1
cfg_3507,23,500,2.7,3.0,-0.0717592380346025,932,-0.12031928057125145,340,0.01798992751407537,272,-0.08610019386447114,325,1
cfg_3510,23,500,3.2,0.5,-0.0145027701354155,2183,-0.023177374637266955,714,0.01783645700412507,714,-0.03420611394798555,756,1
cfg_3513,23,500,3.2,1.0,-0.0369455739428396,1846,-0.10514780202079581,613,0.05256304296695245,581,-0.049345507373244904,656,1
cfg_3516,23,500,3.2,1.5,-0.0436290615948412,1495,-0.10370756261108642,505,0.029820688658296325,466,-0.0451177857959842,531,1
cfg_3519,23,500,3.2,2.0,-0.1019248806833367,1230,-0.17766769410412964,426,-0.031394046814480804,373,-0.08947541513176618,438,0
cfg_3522,23,500,3.2,2.5,-0.0529672970594735,1052,-0.06887667434749621,381,-0.004300816269921439,306,-0.07358805234728834,371,0
cfg_3525,23,500,3.2,3.0,-0.0782177431292592,909,-0.12850718524557697,329,0.03355170379861397,268,-0.11015946893561922,317,1
cfg_3528,23,650,0.2,0.5,-0.025496331856626,2241,-0.042474925919662024,709,0.016117391523091395,744,-0.04694658240105167,789,1
cfg_3531,23,650,0.2,1.0,-0.0480116956975757,1983,-0.09669830987133989,654,0.026417215920818485,629,-0.06657501379317088,700,1
